Date,Country,Holiday
"2017, 1, 9",Columbia, Día de los Reyes Magos [Epiphany]
"2017, 3, 20",Columbia," ""Día de San José [Saint Josephs Day]"
"2017, 7, 3",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul]
"2017, 8, 21",Columbia, La Asunción [Assumption of Mary]
"2017, 10, 16",Columbia, Descubrimiento de América [Discovery of America]
"2017, 11, 6",Columbia," ""Dia de Todos los Santos [All Saints Day]"
"2017, 11, 13",Columbia, Independencia de Cartagena [Independence of Cartagena]
"2017, 4, 13",Columbia, Jueves Santo [Maundy Thursday]
"2017, 4, 14",Columbia, Viernes Santo [Good Friday]
"2017, 5, 29",Columbia, Ascensión del señor [Ascension of Jesus]
"2017, 6, 19",Columbia, Corpus Christi [Corpus Christi]
"2017, 6, 26",Columbia, Sagrado Corazón [Sacred Heart]
"2018, 1, 1",Columbia," ""Año Nuevo [New Years Day]"""
"2018, 5, 1",Columbia, Día del Trabajo [Labour Day]
"2018, 7, 20",Columbia, Día de la Independencia [Independence Day]
"2018, 8, 7",Columbia, Batalla de Boyacá [Battle of Boyacá]
"2018, 12, 25",Columbia, Navidad [Christmas]
"2018, 1, 8",Columbia, Día de los Reyes Magos [Epiphany]
"2018, 3, 19",Columbia," ""Día de San José [Saint Josephs Day]"""
"2018, 7, 2",Columbia, San Pedro y San Pablo [Saint Peter and Saint Paul]
"2018, 8, 20",Columbia, La Asunción [Assumption of Mary]
"2018, 10, 15",Columbia, Descubrimiento de América [Discovery of America]
"2018, 11, 5",Columbia," ""Dia de Todos los Santos [All Saints Day]"
"2018, 11, 12",Columbia, Independencia de Cartagena [Independence of Cartagena]
"2018, 3, 29",Columbia, Jueves Santo [Maundy Thursday]
"2018, 3, 30",Columbia, Viernes Santo [Good Friday]
"2018, 5, 14",Columbia, Ascensión del señor [Ascension of Jesus]
"2018, 6, 4",Columbia, Corpus Christi [Corpus Christi]
"2018, 6, 11",Columbia, Sagrado Corazón [Sacred Heart]
"2018, 1, 1",England," ""New Years Day"""
"2018, 3, 30",England, Good Friday
"2018, 4, 2",England, Easter Monday
"2018, 5, 7",England, May Day
"2018, 5, 28",England, Spring Bank Holiday
"2018, 8, 27",England, Late Summer Bank Holiday
"2018, 12, 25",England, Christmas Day
"2018, 12, 26",England, Boxing Day
"2017, 1, 1",England," ""New Years Day"""
"2017, 1, 2",England," ""New Years Day "
"2017, 4, 14",England, Good Friday
"2017, 4, 17",England, Easter Monday
"2017, 5, 1",England, May Day
"2017, 5, 29",England, Spring Bank Holiday
"2017, 8, 28",England, Late Summer Bank Holiday
"2017, 12, 25",England, Christmas Day
"2017, 12, 26",England, Boxing Day
"2016, 1, 1",England," ""New Years Day"""
"2016, 3, 25",England, Good Friday
"2016, 3, 28",England, Easter Monday
"2016, 5, 2",England, May Day
"2016, 5, 30",England, Spring Bank Holiday
"2016, 8, 29",England, Late Summer Bank Holiday
"2016, 12, 25",England, Christmas Day
"2016, 12, 27",England, Christmas Day 
"2016, 12, 26",England, Boxing Day
"2015, 1, 1",England," ""New Years Day"""
"2015, 4, 3",England, Good Friday
"2015, 4, 6",England, Easter Monday
"2015, 5, 4",England, May Day
"2015, 5, 25",England, Spring Bank Holiday
"2015, 8, 31",England, Late Summer Bank Holiday
"2015, 12, 25",England, Christmas Day
"2015, 12, 26",England, Boxing Day
"2015, 12, 28",England, Boxing Day 
"2014, 1, 1",England," ""New Years Day"""
"2014, 4, 18",England, Good Friday
"2014, 4, 21",England, Easter Monday
"2014, 5, 5",England, May Day
"2014, 5, 26",England, Spring Bank Holiday
"2014, 8, 25",England, Late Summer Bank Holiday
"2014, 12, 25",England, Christmas Day
"2014, 12, 26",England, Boxing Day
"2013, 1, 1",England," ""New Years Day"""
"2013, 3, 29",England, Good Friday
"2013, 4, 1",England, Easter Monday
"2013, 5, 6",England, May Day
"2013, 5, 27",England, Spring Bank Holiday
"2013, 8, 26",England, Late Summer Bank Holiday
"2013, 12, 25",England, Christmas Day
"2013, 12, 26",England, Boxing Day
"2012, 1, 1",England," ""New Years Day"""
"2012, 1, 2",England," ""New Years Day "
"2012, 4, 6",England, Good Friday
"2012, 4, 9",England, Easter Monday
"2012, 5, 7",England, May Day
"2012, 6, 4",England, Spring Bank Holiday
"2012, 8, 27",England, Late Summer Bank Holiday
"2012, 12, 25",England, Christmas Day
"2012, 12, 26",England, Boxing Day
"2012, 6, 5",England, Diamond Jubilee of Elizabeth II
"2011, 1, 1",England," ""New Years Day"""
"2011, 1, 3",England," ""New Years Day "
"2011, 4, 22",England, Good Friday
"2011, 4, 25",England, Easter Monday
"2011, 5, 2",England, May Day
"2011, 5, 30",England, Spring Bank Holiday
"2011, 8, 29",England, Late Summer Bank Holiday
"2011, 12, 25",England, Christmas Day
"2011, 12, 27",England, Christmas Day 
"2011, 12, 26",England, Boxing Day
"2011, 4, 29",England, Wedding of William and Catherine}
"2011, 1, 1",Finland, Uudenvuodenpäivä
"2011, 1, 6",Finland, Loppiainen
"2011, 4, 22",Finland, Pitkäperjantai
"2011, 4, 24",Finland, Pääsiäispäivä
"2011, 4, 25",Finland, 2. pääsiäispäivä
"2011, 5, 1",Finland, Vappu
"2011, 6, 2",Finland, Helatorstai
"2011, 6, 12",Finland, Helluntaipäivä
"2011, 6, 25",Finland, Juhannuspäivä
"2011, 11, 5",Finland, Pyhäinpäivä
"2011, 12, 6",Finland, Itsenäisyyspäivä
"2011, 12, 25",Finland, Joulupäivä
"2011, 12, 26",Finland, Tapaninpäivä
"2011, 6, 24",Finland, Juhannusaatto
"2011, 12, 24",Finland, Jouluaatto
"2012, 1, 1",Finland, Uudenvuodenpäivä
"2012, 1, 6",Finland, Loppiainen
"2012, 4, 6",Finland, Pitkäperjantai
"2012, 4, 8",Finland, Pääsiäispäivä
"2012, 4, 9",Finland, 2. pääsiäispäivä
"2012, 5, 1",Finland, Vappu
"2012, 5, 17",Finland, Helatorstai
"2012, 5, 27",Finland, Helluntaipäivä
"2012, 6, 23",Finland, Juhannuspäivä
"2012, 11, 3",Finland, Pyhäinpäivä
"2012, 12, 6",Finland, Itsenäisyyspäivä
"2012, 12, 25",Finland, Joulupäivä
"2012, 12, 26",Finland, Tapaninpäivä
"2012, 6, 22",Finland, Juhannusaatto
"2012, 12, 24",Finland, Jouluaatto
"2013, 1, 1",Finland, Uudenvuodenpäivä
"2013, 1, 6",Finland, Loppiainen
"2013, 3, 29",Finland, Pitkäperjantai
"2013, 3, 31",Finland, Pääsiäispäivä
"2013, 4, 1",Finland, 2. pääsiäispäivä
"2013, 5, 1",Finland, Vappu
"2013, 5, 9",Finland, Helatorstai
"2013, 5, 19",Finland, Helluntaipäivä
"2013, 6, 22",Finland, Juhannuspäivä
"2013, 11, 2",Finland, Pyhäinpäivä
"2013, 12, 6",Finland, Itsenäisyyspäivä
"2013, 12, 25",Finland, Joulupäivä
"2013, 12, 26",Finland, Tapaninpäivä
"2013, 6, 21",Finland, Juhannusaatto
"2013, 12, 24",Finland, Jouluaatto
"2014, 1, 1",Finland, Uudenvuodenpäivä
"2014, 1, 6",Finland, Loppiainen
"2014, 4, 18",Finland, Pitkäperjantai
"2014, 4, 20",Finland, Pääsiäispäivä
"2014, 4, 21",Finland, 2. pääsiäispäivä
"2014, 5, 1",Finland, Vappu
"2014, 5, 29",Finland, Helatorstai
"2014, 6, 8",Finland, Helluntaipäivä
"2014, 6, 21",Finland, Juhannuspäivä
"2014, 11, 1",Finland, Pyhäinpäivä
"2014, 12, 6",Finland, Itsenäisyyspäivä
"2014, 12, 25",Finland, Joulupäivä
"2014, 12, 26",Finland, Tapaninpäivä
"2014, 6, 20",Finland, Juhannusaatto
"2014, 12, 24",Finland, Jouluaatto
"2015, 1, 1",Finland, Uudenvuodenpäivä
"2015, 1, 6",Finland, Loppiainen
"2015, 4, 3",Finland, Pitkäperjantai
"2015, 4, 5",Finland, Pääsiäispäivä
"2015, 4, 6",Finland, 2. pääsiäispäivä
"2015, 5, 1",Finland, Vappu
"2015, 5, 14",Finland, Helatorstai
"2015, 5, 24",Finland, Helluntaipäivä
"2015, 6, 20",Finland, Juhannuspäivä
"2015, 10, 31",Finland, Pyhäinpäivä
"2015, 12, 6",Finland, Itsenäisyyspäivä
"2015, 12, 25",Finland, Joulupäivä
"2015, 12, 26",Finland, Tapaninpäivä
"2015, 6, 19",Finland, Juhannusaatto
"2015, 12, 24",Finland, Jouluaatto
"2016, 1, 1",Finland, Uudenvuodenpäivä
"2016, 1, 6",Finland, Loppiainen
"2016, 3, 25",Finland, Pitkäperjantai
"2016, 3, 27",Finland, Pääsiäispäivä
"2016, 3, 28",Finland, 2. pääsiäispäivä
"2016, 5, 1",Finland, Vappu
"2016, 5, 5",Finland, Helatorstai
"2016, 5, 15",Finland, Helluntaipäivä
"2016, 6, 25",Finland, Juhannuspäivä
"2016, 11, 5",Finland, Pyhäinpäivä
"2016, 12, 6",Finland, Itsenäisyyspäivä
"2016, 12, 25",Finland, Joulupäivä
"2016, 12, 26",Finland, Tapaninpäivä
"2016, 6, 24",Finland, Juhannusaatto
"2016, 12, 24",Finland, Jouluaatto
"2017, 1, 1",Finland, Uudenvuodenpäivä
"2017, 1, 6",Finland, Loppiainen
"2017, 4, 14",Finland, Pitkäperjantai
"2017, 4, 16",Finland, Pääsiäispäivä
"2017, 4, 17",Finland, 2. pääsiäispäivä
"2017, 5, 1",Finland, Vappu
"2017, 5, 25",Finland, Helatorstai
"2017, 6, 4",Finland, Helluntaipäivä
"2017, 6, 24",Finland, Juhannuspäivä
"2017, 11, 4",Finland, Pyhäinpäivä
"2017, 12, 6",Finland, Itsenäisyyspäivä
"2017, 12, 25",Finland, Joulupäivä
"2017, 12, 26",Finland, Tapaninpäivä
"2017, 6, 23",Finland, Juhannusaatto
"2017, 12, 24",Finland, Jouluaatto
"2018, 1, 1",Finland, Uudenvuodenpäivä
"2018, 1, 6",Finland, Loppiainen
"2018, 3, 30",Finland, Pitkäperjantai
"2018, 4, 1",Finland, Pääsiäispäivä
"2018, 4, 2",Finland, 2. pääsiäispäivä
"2018, 5, 1",Finland, Vappu
"2018, 5, 10",Finland, Helatorstai
"2018, 5, 20",Finland, Helluntaipäivä
"2018, 6, 23",Finland, Juhannuspäivä
"2018, 11, 3",Finland, Pyhäinpäivä
"2018, 12, 6",Finland, Itsenäisyyspäivä
"2018, 12, 25",Finland, Joulupäivä
"2018, 12, 26",Finland, Tapaninpäivä
"2018, 6, 22",Finland, Juhannusaatto
"2018, 12, 24",Finland, Jouluaatto}
